,name,position,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
00-0034386,Justin Watson,WR,TB,,,,,,,,,,,,,,,,
00-0034393,Troy Fumagalli,TE,DEN,,,,,,,,,,,,,,,,
00-0034395,Daurice Fountain,WR,IND,,,,,,,,,,,,,,,,
00-0034400,Jordan Wilkins,RB,IND,,,,,,,,,,,,,,,,
00-0034401,Mike White,QB,DAL,,,,,,,,,,,,,,,,
00-0034406,Deon Cain,WR,IND,,,,,,,,,,,,,,,,
00-0034407,Ray-Ray McCloud,WR,BUF,,,,,,,,,,,,,,,,
00-0034409,Dylan Cantrell,WR,SD,,,,,,,,,,,,,,,,
00-0034411,Russell Gage,WR,ATL,,,,,,,,,,,,,,,,
00-0034412,Luke Falk,QB,TEN,,,,,,,,,,,,,,,,
00-0034414,Boston Scott,RB,NO,,,,,,,,,,,,,,,,
00-0034416,Tanner Lee,QB,JAC,,,,,,,,,,,,,,,,
00-0034419,Braxton Berrios,WR,NE,,,,,,,,,,,,,,,,
00-0034420,Jordan Thomas,TE,HOU,,,,,,,,,,,,,,,,
00-0034423,Danny Etling,QB,NE,,,,,,,,,,,,,,,,
00-0034426,Javon Wims,WR,CHI,,,,,,,,,,,,,,,,
00-0034427,David Williams,RB,DEN,,,,,,,,,,,,,,,,
00-0034432,Bo Scarbrough,RB,DAL,,,,,,,,,,,,,,,,
00-0034433,Nick Bawden,RB,DET,,,,,,,,,,,,,,,,
00-0034438,Logan Woodside,QB,CIN,,,,,,,,,,,,,,,,
00-0034439,Ryan Izzo,TE,NE,,,,,,,,,,,,,,,,
00-0034440,Justin Jackson,RB,SD,,,,,,,,,,,,,,,,
00-0034442,Austin Proehl,WR,BUF,,,,,,,,,,,,,,,,
00-0034449,Buddy Howell,RB,MIA,,,,,,,,,,,,,,,,
00-0034457,Josh Adams,RB,PHI,,,,,,,,,,,,,,,,
00-0034462,Anthony Mahoungou,WR,PHI,,,,,,,,,,,,,,,,
00-0034472,Alec Bloom,TE,ARI,,,,,,,,,,,,,,,,
00-0034478,Chad Kanoff,QB,ARI,,,,,,,,,,,,,,,,
00-0034487,Trent Sherfield,WR,ARI,,,,,,,,,,,,,,,,
00-0034489,Jalen Tolliver,WR,ARI,,,,,,,,,,,,,,,,
00-0034491,Andrew Vollert,TE,ARI,,,,,,,,,,,,,,,,
00-0034493,Corey Willis,WR,ARI,,,,,,,,,,,,,,,,
00-0034499,Jawill Davis,WR,NYG,,,,,,,,,,,,,,,,
00-0034504,Jonah Trinnaman,WR,NYJ,,,,,,,,,,,,,,,,
00-0034509,Keith Ford,RB,BUF,,,,,,,,,,,,,,,,
00-0034510,Robert Foster,WR,BUF,,,,,,,,,,,,,,,,
00-0034512,Cam Phillips,WR,BUF,,,,,,,,,,,,,,,,
00-0034521,Allen Lazard,WR,JAC,,,,,,,,,,,,,,,,
00-0034524,Dorren Miller,WR,JAC,,,,,,,,,,,,,,,,
00-0034528,Devonte Boyd,WR,CIN,,,,,,,,,,,,,,,,
00-0034531,Quinton Flowers,RB,CIN,,,,,,,,,,,,,,,,
00-0034532,Jordan Franks,TE,CIN,,,,,,,,,,,,,,,,
00-0034549,Cole Hunt,TE,SD,,,,,,,,,,,,,,,,
00-0034551,Jordan Chunn,RB,DAL,,,,,,,,,,,,,,,,
00-0034557,Ben Johnson,TE,SD,,,,,,,,,,,,,,,,
00-0034560,J.J. Jones,WR,SD,,,,,,,,,,,,,,,,
00-0034561,Marchie Murdock,WR,DAL,,,,,,,,,,,,,,,,
00-0034563,Anthony Manzo-Lewis,RB,SD,,,,,,,,,,,,,,,,
00-0034565,Detrez Newsome,RB,SD,,,,,,,,,,,,,,,,
00-0034572,Dalton Sturm,QB,DAL,,,,,,,,,,,,,,,,
00-0034574,Nic Shimonek,QB,SD,,,,,,,,,,,,,,,,
00-0034575,David Wells,TE,DAL,,,,,,,,,,,,,,,,
00-0034577,Kyle Allen,QB,CAR,,,,,,,,,,,,,,,,
00-0034578,Reggie Bonnafon,RB,CAR,,,,,,,,,,,,,,,,
00-0034592,Garrett Johnson,WR,CHI,,,,,,,,,,,,,,,,
00-0034593,Chris Lacy,WR,DET,,,,,,,,,,,,,,,,
00-0034596,Ralph Webb,RB,NE,,,,,,,,,,,,,,,,
00-0034597,Ryan Nall,RB,CHI,,,,,,,,,,,,,,,,
00-0034608,Austin Allen,QB,TB,,,,,,,,,,,,,,,,
00-0034609,Sergio Bailey,WR,TB,,,,,,,,,,,,,,,,
00-0034611,Donnie Ernsberger,TE,TB,,,,,,,,,,,,,,,,
00-0034613,Tanner Hudson,TE,TB,,,,,,,,,,,,,,,,
00-0034618,Ervin Philips,WR,TB,,,,,,,,,,,,,,,,
00-0034621,Shaun Wilson,RB,TB,,,,,,,,,,,,,,,,
00-0034624,Lavon Coleman,RB,HOU,,,,,,,,,,,,,,,,
00-0034631,Vyncint Smith,WR,HOU,,,,,,,,,,,,,,,,
00-0034632,Terry Swanson,RB,HOU,,,,,,,,,,,,,,,,
00-0034633,Jester Weah,WR,HOU,,,,,,,,,,,,,,,,
00-0034640,DeAndre Goolsby,TE,JAC,,,,,,,,,,,,,,,,
00-0034642,Kyle Lewis,WR,GB,,,,,,,,,,,,,,,,
00-0034646,Brandon Powell,WR,DET,,,,,,,,,,,,,,,,
00-0034647,Teo Redding,WR,DET,,,,,,,,,,,,,,,,
00-0034652,Cameron Batson,WR,TEN,,,,,,,,,,,,,,,,
00-0034653,Deontay Burnett,WR,TEN,,,,,,,,,,,,,,,,
00-0034654,Dalyn Dawkins,RB,TEN,,,,,,,,,,,,,,,,
00-0034667,Devin Ross,WR,TEN,,,,,,,,,,,,,,,,
00-0034669,Jordan Veasy,WR,TEN,,,,,,,,,,,,,,,,
00-0034670,Akrum Wadley,RB,TEN,,,,,,,,,,,,,,,,
00-0034672,Ethan Wolf,TE,TEN,,,,,,,,,,,,,,,,
00-0034676,James Washington,WR,PIT,,,,,,,,,,,,,,,,
00-0034679,Mark Walton,RB,CIN,,,,,,,,,,,,,,,,
00-0034681,Chase Edmonds,RB,ARI,,,,,,,,,,,,,,,,
00-0034686,Auden Tate,WR,CIN,,,,,,,,,,,,,,,,
00-0034697,Brogan Roback,QB,CLE,,,,,,,,,,,,,,,,
00-0034698,Damoun Patterson,WR,PIT,,,,,,,,,,,,,,,,
00-0034703,Tim Wilson,WR,PHI,,,,,,,,,,,,,,,,
00-0034708,Robert Martin,RB,NYG,,,,,,,,,,,,,,,,
00-0034709,C.J. Duncan,WR,ARI,,,,,,,,,,,,,,,,
00-0034710,Darvin Kidsy,WR,WAS,,,,,,,,,,,,,,,,
00-0034716,Clayton Wilson,TE,SEA,,,,,,,,,,,,,,,,
00-0034725,Ryan Yurachek,RB,OAK,,,,,,,,,,,,,,,,
00-0034732,Alex McGough,QB,SEA,,,,,,,,,,,,,,,,
00-0034733,Nick Holley,RB,LA,,,,,,,,,,,,,,,,
00-0034735,Codey McElroy,TE,LA,,,,,,,,,,,,,,,,
00-0034737,Luis Perez,QB,LA,,,,,,,,,,,,,,,,
00-0034747,Marcell Ateman,WR,OAK,,,,,,,,,,,,,,,,
00-0034750,Rashaad Penny,RB,SEA,,,,,,,,,,,,,,,,
00-0034753,Mark Andrews,TE,BAL,,,,,,,,,,,,,,,,
00-0034761,Kayaune Ross,WR,CIN,,,,,,,,,,,,,,,,
00-0034764,Michael Gallup,WR,DAL,,,,,,,,,,,,,,,,
00-0034765,Tre'Quan Smith,WR,NO,,,,,,,,,,,,,,,,
00-0034766,Chris Herndon,TE,NYJ,,,,,,,,,,,,,,,,
00-0034771,Mason Rudolph,QB,PIT,,,,,,,,,,,,,,,,
00-0034772,Antonio Callaway,WR,CLE,,,,,,,,,,,,,,,,
00-0034775,Christian Kirk,WR,ARI,,,,,,,,,,,,,,,,
00-0034777,D.J. Chark,WR,JAC,,,,,,,,,,,,,,,,
00-0034783,Garrett Hudson,TE,WAS,,,,,,,,,,,,,,,,
00-0034784,Austin Roberts,TE,SD,,,,,,,,,,,,,,,,
00-0034786,Sherman Badie,RB,ARI,,,,,,,,,,,,,,,,
00-0034788,Jaeden Graham,TE,ATL,,,,,,,,,,,,,,,,
00-0034791,Nick Chubb,RB,CLE,,,,,,,,,,,,,,,,
00-0034795,Garrett Dickerson,TE,NYG,,,,,,,,,,,,,,,,
00-0034796,Lamar Jackson,QB,BAL,,,,,,,,,,,,,,,,
00-0034798,Durham Smythe,TE,MIA,,,,,,,,,,,,,,,,
00-0034799,Kalen Ballage,RB,MIA,,,,,,,,,,,,,,,,
00-0034808,John Kelly,RB,LA,,,,,,,,,,,,,,,,
00-0034816,Ronald Jones,RB,TB,,,,,,,,,,,,,,,,
00-0034819,Josh Crockett,WR,KC,,,,,,,,,,,,,,,,
00-0034827,DJ Moore,WR,CAR,,,,,,,,,,,,,,,,
00-0034829,Mike Gesicki,TE,MIA,,,,,,,,,,,,,,,,
00-0034830,Hayden Hurst,TE,BAL,,,,,,,,,,,,,,,,
00-0034837,Calvin Ridley,WR,ATL,,,,,,,,,,,,,,,,
00-0034838,Royce Freeman,RB,DEN,,,,,,,,,,,,,,,,
00-0034844,Saquon Barkley,RB,NYG,,,,,,,,,,,,,,,,
00-0034845,Sony Michel,RB,NE,,,,,,,,,,,,,,,,
00-0034854,Khadarel Hodge,WR,LA,,,,,,,,,,,,,,,,
00-0034855,Baker Mayfield,QB,CLE,,,,,,,,,,,,,,,,
00-0034857,Josh Allen,QB,BUF,,,,,,,,,,,,,,,,
00-0034859,Adonis Jennings,WR,GB,,,,,,,,,,,,,,,,
00-0034860,Dante Pettis,WR,SF,,,,,,,,,,,,,,,,
00-0034861,Mark Chapman,WR,DEN,,,,,,,,,,,,,,,,
00-0034862,Jared Murphy,WR,CIN,,,,,,,,,,,,,,,,
00-0034863,Cam Serigne,TE,CAR,,,,,,,,,,,,,,,,
00-0034864,Blake Jackson,WR,CLE,,,,,,,,,,,,,,,,
00-0034867,Malik Turner,WR,SEA,,,,,,,,,,,,,,,,
00-0034869,Sam Darnold,QB,NYJ,,,,,,,,,,,,,,,,
00-0034870,James Butler,RB,OAK,,,,,,,,,,,,,,,,
00-0034876,Christopher Ezeala,RB,BAL,,,,,,,,,,,,,,,,
00-0034877,Marcus Peterson,WR,SD,,,,,,,,,,,,,,,,
00-0034878,Bryce Bobo,WR,DEN,,,,,,,,,,,,,,,,
00-0034883,Gerald Holmes,RB,SEA,,,,,,,,,,,,,,,,
