,name,position,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
00-0030431,Robert Woods,WR,LA,8.3,1.8,16.8,3.7,12.4,10.0,11.3,,23.0,37.1,16.1,,,,16.5,6.3
00-0030432,Christine Michael,RB,IND,,,,,,,,,,,,,,,,
00-0030433,Mike Gillislee,RB,NE,22.5,12.9,3.1,4.9,5.2,2.4,3.1,3.4,,,,,,,,11.3
00-0030443,Levine Toilolo,TE,DET,,,,5.1,,,,4.0,1.8,2.0,11.1,,4.5,1.7,0.0,
00-0030456,Giovani Bernard,RB,CIN,8.9,4.6,11.9,16.9,5.2,,1.7,0.5,0.4,9.8,1.4,3.7,11.6,19.0,13.3,29.8
00-0030460,Markus Wheaton,WR,PHI,,,,,1.4,,,,,,,,,,6.2,
00-0030465,Kenjon Barner,RB,CAR,,,,0.0,2.3,2.6,0.4,3.1,0.0,,9.6,0.0,0.0,0.0,2.1,0.0
00-0030470,Vance McDonald,TE,PIT,,,,,,3.6,5.7,,,9.6,,,,9.2,,9.2
00-0030472,Jordan Reed,TE,WAS,8.6,10.8,,5.1,,7.7,26.4,1.5,,,,,,,,
00-0030496,Le'Veon Bell,RB,PIT,7.7,13.1,21.8,34.6,19.3,28.1,22.2,14.1,,16.2,19.3,28.3,29.2,39.5,27.5,20.7
00-0030506,Travis Kelce,TE,KC,9.4,24.3,1.1,24.4,17.8,7.7,13.3,26.3,20.3,,16.9,6.9,25.4,14.4,10.6,14.7
00-0030513,Latavius Murray,RB,MIN,0.6,0.6,0.5,4.9,6.3,4.7,17.3,5.7,,12.8,22.6,14.4,12.7,4.0,17.4,8.5
00-0030516,Brice Butler,WR,ARI,4.0,2.8,17.0,9.2,7.7,,,,1.6,4.0,3.9,1.5,,,,
00-0030520,Mike Glennon,QB,ARI,12.52,10.04,6.44,4.72,,,,,,,,,,,,
00-0030521,Justin Hunter,WR,PIT,,,,1.5,1.6,,,1.7,,,,,,,,7.5
00-0030524,Landry Jones,QB,PIT,,,,,,,,,,,-0.3,,,,,-0.1
00-0030525,Tavon Austin,RB,DAL,0.8,1.8,-0.6,5.6,11.1,0.0,6.2,,4.3,0.2,,4.6,0.8,-1.4,4.4,
00-0030526,EJ Manuel,QB,OAK,,,,2.24,11.86,,,,,,,,,,,
00-0030533,Matt Barkley,QB,CIN,,,,,,,,,,,,,,,,
00-0030542,Terrance Williams,WR,DAL,12.8,5.7,7.7,7.4,3.4,,,5.6,23.1,1.9,7.5,10.0,4.1,5.5,4.9,8.3
00-0030544,Gavin Escobar,TE,MIA,,,,,,,,,,,,,,,,
00-0030549,Tyler Eifert,TE,CIN,1.4,7.2,,,,,,,,,,,,,,
